ID,RA,DEC,zml,X,Y,Z,PROB_GAL_GAIA,PROB_GAL,sigma_68,pdf_means_0,pdf_means_1,pdf_means_2,pdf_stds_0,pdf_stds_1,pdf_stds_2,pdf_weights_0,pdf_weights_1,pdf_weights_2,dis
iDR5_3_SPLUS-s27s37_0036983,59.74396293780521,-34.436769743283136,0.1145918369293212,142.86039496571215,244.9074636215165,-194.40381588395223,1.0,1.0,0.0180000029504299,0.1204818040132522,0.1102136373519897,0.1200502291321754,0.018033143132925,0.0155167244374752,0.0865943133831024,0.5395948886871338,0.4518301784992218,0.0086147338151931,343.77551078796364
iDR5_3_SPLUS-s24s44_0001455,67.27484112159318,-31.5629540301954,0.055408164858818,54.71484984401497,130.6388996414031,-87.0077335886178,1.0,1.0,0.0140000004321336,0.0544096529483795,0.0644385069608688,0.1541962921619415,0.0103482659906148,0.0182964894920587,0.1115029454231262,0.588273286819458,0.402472585439682,0.009551016613841,166.224494576454
iDR5_3_SPLUS-s24s44_0004423,66.83498215871236,-31.466609190319275,0.0463265292346477,46.63208151074759,108.98452083821216,-72.5475636393002,1.0,0.9980000257492064,0.0095000006258487,0.045478731393814,0.0559508875012397,0.0770763456821441,0.0066101355478167,0.0113239418715238,0.0807759165763855,0.6151074171066284,0.381014347076416,0.003655347507447,138.9795877039431
iDR5_3_SPLUS-s24s44_0007619,67.32385696938135,-31.356543325578983,0.0600000023841857,59.25865889219528,141.8282333805781,-93.66518102989674,1.0,1.0,0.0080000013113021,0.0597883127629756,0.0607703812420368,0.1098165512084961,0.0070658517070114,0.0091331945732235,0.0712841600179672,0.6448395252227783,0.3489013314247131,0.0062569640576839,180.00000715255712
iDR5_3_SPLUS-s24s44_0007857,67.25432604159184,-31.341326193849348,0.071836732327938,71.16666774513654,169.74917741818126,-112.09445647268409,1.0,0.9919999837875366,0.010999996215105,0.0706302225589752,0.0814664289355278,0.1013288497924804,0.0079750791192054,0.0128720384091138,0.0834405571222305,0.587539792060852,0.4083137810230255,0.0040451902896165,215.510196983814
iDR5_3_SPLUS-s24s44_0008635,67.3848536629031,-31.31105671522106,0.1230816319584846,121.30968586286436,291.21079516996724,-191.8906616341797,1.0,0.9980000257492064,0.0170000009238719,0.1243738979101181,0.1041451469063758,0.0976359471678733,0.012857113033533,0.0210902839899063,0.0556348413228988,0.6857818365097046,0.3029843270778656,0.011577695608139,369.2448958754538
iDR5_3_SPLUS-s24s44_0009092,68.24095236827493,-31.297381535052963,0.0706734731793403,67.15962933113003,168.25973682997673,-110.14038065619062,1.0,1.0,0.025000000372529,0.0687901228666305,0.1041314154863357,0.1626235842704773,0.0132445991039276,0.0197378769516944,0.0885804593563079,0.5633801817893982,0.4328415989875793,0.0037292051129043,212.0204195380209
iDR5_3_SPLUS-s24s44_0009465,67.7107764626457,-31.287747598136267,0.056591834872961,55.02816266155101,134.24443874124273,-88.17059572067652,1.0,1.0,0.0070000011473894,0.0565162971615791,0.0592239424586296,0.0869255140423774,0.0056452332064509,0.0114730764180421,0.0728579759597778,0.7896823883056641,0.2042955756187439,0.0057694148272275,169.77550461888302
iDR5_3_SPLUS-s24s44_0009671,68.33834697636718,-31.279097015690382,0.1078367382287979,102.05838396822652,256.96186554957313,-167.96888081282702,1.0,1.0,0.0190000049769878,0.1056338399648666,0.1289897263050079,0.1851902306079864,0.0104403104633092,0.0167832262814044,0.0781479701399803,0.5144157409667969,0.474211037158966,0.0114780589938163,323.5102146863937
iDR5_3_SPLUS-s24s44_0010467,67.51373302114625,-31.258894740071728,0.0600000023841857,58.84928891872762,142.17112474625108,-93.4030784132228,1.0,0.9980000257492064,0.0104999989271163,0.058970857411623,0.0670966580510139,0.1235348284244537,0.0077762380242347,0.0126509293913841,0.0841235890984535,0.5724238157272339,0.4218754768371582,0.0055668409913778,180.00000715255712
